# zLo  zHi    lgMchar   Phi_1    alpha_1     Phi_2    alpha_2
# 
  0.2  0.5    10.78    1.187e-3    -1.38    1.92e-3    -0.43
  0.5  0.8    10.77    1.070e-3    -1.36    1.68e-3     0.03
  0.8  1.1    10.56    1.428e-3    -1.31    2.19e-3     0.51
  1.1  1.5    10.62    1.069e-3    -1.28    1.21e-3     0.29
  1.5  2.0    10.51    0.969e-3    -1.28    0.64e-3     0.82
  2.0  2.5    10.60    0.295e-3    -1.57    0.45e-3     0.07
  2.5  3.0    10.59    0.228e-3    -1.67    0.21e-3    -0.08
  3.0  3.5    10.83    0.090e-3    -1.76          0        0
  3.5  4.5    11.10    0.016e-3    -1.98          0        0
  4.5  5.5    11.30    0.003e-3    -2.11          0        0
